type,product_id,name,short_description,price,detail_url,image_url,review_id,text,rating,date,username
product,1.0,Box of Chocolate Candy,"Indulge your sweet tooth with our Box of Chocolate Candy. Each box contains an assortment of rich, flavorful chocolates with a smooth, creamy filling. Choose from a variety of flavors including zesty orange and sweet cherry. Whether you're looking for the perfect gift or just want to treat yourself, our Box of Chocolate Candy is sure to satisfy.",24.99,https://web-scraping.dev/product/1,https://web-scraping.devhttps://www.web-scraping.dev/assets/products/orange-chocolate-box-medium-1.webp,,,,,
product,2.0,Dark Red Energy Potion,"Unleash the power within with our 'Dark Red Potion', an energy drink as intense as the games you play. Its deep red color and bold cherry cola flavor are as inviting as they are invigorating. Bring out the best in your gaming performance, and unlock your full potential.",4.99,https://web-scraping.dev/product/2,https://web-scraping.devhttps://www.web-scraping.dev/assets/products/darkred-potion.webp,,,,,
product,3.0,Teal Energy Potion,"Experience a surge of vitality with our 'Teal Potion', an exceptional energy drink designed for the gaming community. With its intriguing teal color and a flavor that keeps you asking for more, this potion is your best companion during those long gaming nights. Every sip is an adventure - let the quest begin!",4.99,https://web-scraping.dev/product/3,https://web-scraping.devhttps://www.web-scraping.dev/assets/products/teal-potion.webp,,,,,
product,4.0,Red Energy Potion,"Elevate your game with our 'Red Potion', an extraordinary energy drink that's as enticing as it is effective. This fiery red potion delivers an explosive berry flavor and an energy kick that keeps you at the top of your game. Are you ready to level up?",4.99,https://web-scraping.dev/product/4,https://web-scraping.devhttps://www.web-scraping.dev/assets/products/red-potion.webp,,,,,
product,5.0,Blue Energy Potion,"Ignite your gaming sessions with our 'Blue Energy Potion', a premium energy drink crafted for dedicated gamers. Inspired by the classic video game potions, this energy drink provides a much-needed boost to keep you focused and energized. It's more than just an energy drink - it's an ode to the gaming culture, packaged in an aesthetically pleasing potion-like bottle that'll make you feel like you're in your favorite game world. Drink up and game on!",4.99,https://web-scraping.dev/product/5,https://web-scraping.devhttps://www.web-scraping.dev/assets/products/blue-potion.webp,,,,,
product,6.0,Dragon Energy Potion,"Fuel your gaming prowess with our 'Dragon Potion', an energy drink for those who dare to take on the greatest challenges. Packed with a fiery tropical flavor and a potent energy blend, this potion sets the stage for epic gaming sessions. Embrace the spirit of the dragon - play hard, play long.",4.99,https://web-scraping.dev/product/6,https://web-scraping.devhttps://www.web-scraping.dev/assets/products/dragon-potion.webp,,,,,
product,7.0,Hiking Boots for Outdoor Adventures,"Gear up for your next outdoor adventure with these durable and comfortable hiking boots. These boots are designed to handle all types of terrain, from rocky trails to muddy paths. They feature a waterproof upper, a rugged outsole for excellent traction, and a cushioned insole for maximum comfort. The mixed-color design adds a stylish touch to these practical boots. Get ready to conquer the great outdoors with our Hiking Boots for Outdoor Adventures.",89.99,https://web-scraping.dev/product/7,https://web-scraping.devhttps://www.web-scraping.dev/assets/products/hiking-boots-1.webp,,,,,
product,8.0,Women's High Heel Sandals,"Step out in style with our Women's High Heel Sandals. These sandals feature a strappy design that adds a touch of elegance to any outfit. The comfortable footbed and sturdy heel make them perfect for a night out, while the buckle closure ensures a secure fit. Choose from black, red, nude, or silver to complement your wardrobe.",59.99,https://web-scraping.dev/product/8,https://web-scraping.devhttps://www.web-scraping.dev/assets/products/women-sandals-beige-1.webp,,,,,
product,9.0,Running Shoes for Men,"Stay comfortable during your runs with our Men's Running Shoes. Featuring a breathable upper and a cushioned midsole, these shoes provide excellent ventilation and shock absorption. The durable outsole offers solid traction, ensuring stability even on slippery surfaces. With a sleek design and various color options, you can hit the road or the treadmill in style.",49.99,https://web-scraping.dev/product/9,https://web-scraping.devhttps://www.web-scraping.dev/assets/products/men-running-shoes.webp,,,,,
product,10.0,Kids' Light-Up Sneakers,"Make your child's every step magical with these fun and vibrant light-up sneakers. The shoes feature colorful LED lights embedded in the sole that illuminate with each stride, creating an enchanting visual display. Made with breathable materials and a cushioned footbed, these sneakers ensure comfort for active play. Let your little one's personality shine with these exciting and playful shoes.",29.99,https://web-scraping.dev/product/10,https://web-scraping.devhttps://www.web-scraping.dev/assets/products/kids-light-up-sneakers-red-1.webp,,,,,
product,11.0,Classic Leather Sneakers,"Step out in style with these timeless classic leather sneakers. Made from premium genuine leather, these sneakers offer both comfort and durability. The sleek design and neutral color make them versatile for any occasion. Whether you're dressing up for a formal event or going for a casual outing, these sneakers will complement your look perfectly.",79.99,https://web-scraping.dev/product/11,https://web-scraping.devhttps://www.web-scraping.dev/assets/products/classic-leather-sneakers-white.webp,,,,,
product,12.0,Cat-Ear Beanie,"Add a touch of whimsy to your winter wardrobe with our Cat Ear Beanie. Crafted from warm, soft material, this cozy beanie features adorable cat ears that stand out, making it the perfect accessory for cat lovers and fashion enthusiasts alike. Available in a variety of colors like black, grey, white, pink, and blue, this beanie not only keeps you warm but also adds a playful element to your outfit. Wear it for a casual day out, or make it your go-to accessory for those chilly evening walks. Stay warm, look cute, and let your playful side shine with our Cat Ear Beanie.",14.99,https://web-scraping.dev/product/12,https://web-scraping.devhttps://www.web-scraping.dev/assets/products/cat-ear-beanie-grey.webp,,,,,
product,13.0,Box of Chocolate Candy,"Indulge your sweet tooth with our Box of Chocolate Candy. Each box contains an assortment of rich, flavorful chocolates with a smooth, creamy filling. Choose from a variety of flavors including zesty orange and sweet cherry. Whether you're looking for the perfect gift or just want to treat yourself, our Box of Chocolate Candy is sure to satisfy.",24.99,https://web-scraping.dev/product/13,https://web-scraping.devhttps://www.web-scraping.dev/assets/products/orange-chocolate-box-medium-1.webp,,,,,
product,14.0,Dark Red Energy Potion,"Unleash the power within with our 'Dark Red Potion', an energy drink as intense as the games you play. Its deep red color and bold cherry cola flavor are as inviting as they are invigorating. Bring out the best in your gaming performance, and unlock your full potential.",4.99,https://web-scraping.dev/product/14,https://web-scraping.devhttps://www.web-scraping.dev/assets/products/darkred-potion.webp,,,,,
product,15.0,Teal Energy Potion,"Experience a surge of vitality with our 'Teal Potion', an exceptional energy drink designed for the gaming community. With its intriguing teal color and a flavor that keeps you asking for more, this potion is your best companion during those long gaming nights. Every sip is an adventure - let the quest begin!",4.99,https://web-scraping.dev/product/15,https://web-scraping.devhttps://www.web-scraping.dev/assets/products/teal-potion.webp,,,,,
product,16.0,Red Energy Potion,"Elevate your game with our 'Red Potion', an extraordinary energy drink that's as enticing as it is effective. This fiery red potion delivers an explosive berry flavor and an energy kick that keeps you at the top of your game. Are you ready to level up?",4.99,https://web-scraping.dev/product/16,https://web-scraping.devhttps://web-scraping.dev/assets/products/red-potion.webp,,,,,
product,17.0,Blue Energy Potion,"Ignite your gaming sessions with our 'Blue Energy Potion', a premium energy drink crafted for dedicated gamers. Inspired by the classic video game potions, this energy drink provides a much-needed boost to keep you focused and energized. It's more than just an energy drink - it's an ode to the gaming culture, packaged in an aesthetically pleasing potion-like bottle that'll make you feel like you're in your favorite game world. Drink up and game on!",4.99,https://web-scraping.dev/product/17,https://web-scraping.devhttps://web-scraping.dev/assets/products/blue-potion.webp,,,,,
product,18.0,Dragon Energy Potion,"Fuel your gaming prowess with our 'Dragon Potion', an energy drink for those who dare to take on the greatest challenges. Packed with a fiery tropical flavor and a potent energy blend, this potion sets the stage for epic gaming sessions. Embrace the spirit of the dragon - play hard, play long.",4.99,https://web-scraping.dev/product/18,https://web-scraping.devhttps://web-scraping.dev/assets/products/dragon-potion.webp,,,,,
product,19.0,Hiking Boots for Outdoor Adventures,"Gear up for your next outdoor adventure with these durable and comfortable hiking boots. These boots are designed to handle all types of terrain, from rocky trails to muddy paths. They feature a waterproof upper, a rugged outsole for excellent traction, and a cushioned insole for maximum comfort. The mixed-color design adds a stylish touch to these practical boots. Get ready to conquer the great outdoors with our Hiking Boots for Outdoor Adventures.",89.99,https://web-scraping.dev/product/19,https://web-scraping.devhttps://web-scraping.dev/assets/products/hiking-boots-1.webp,,,,,
product,20.0,Women's High Heel Sandals,"Step out in style with our Women's High Heel Sandals. These sandals feature a strappy design that adds a touch of elegance to any outfit. The comfortable footbed and sturdy heel make them perfect for a night out, while the buckle closure ensures a secure fit. Choose from black, red, nude, or silver to complement your wardrobe.",59.99,https://web-scraping.dev/product/20,https://web-scraping.devhttps://web-scraping.dev/assets/products/women-sandals-beige-1.webp,,,,,
product,21.0,Running Shoes for Men,"Stay comfortable during your runs with our Men's Running Shoes. Featuring a breathable upper and a cushioned midsole, these shoes provide excellent ventilation and shock absorption. The durable outsole offers solid traction, ensuring stability even on slippery surfaces. With a sleek design and various color options, you can hit the road or the treadmill in style.",49.99,https://web-scraping.dev/product/21,https://web-scraping.devhttps://web-scraping.dev/assets/products/men-running-shoes.webp,,,,,
product,22.0,Kids' Light-Up Sneakers,"Make your child's every step magical with these fun and vibrant light-up sneakers. The shoes feature colorful LED lights embedded in the sole that illuminate with each stride, creating an enchanting visual display. Made with breathable materials and a cushioned footbed, these sneakers ensure comfort for active play. Let your little one's personality shine with these exciting and playful shoes.",29.99,https://web-scraping.dev/product/22,https://web-scraping.devhttps://web-scraping.dev/assets/products/kids-light-up-sneakers-red-1.webp,,,,,
product,23.0,Classic Leather Sneakers,"Step out in style with these timeless classic leather sneakers. Made from premium genuine leather, these sneakers offer both comfort and durability. The sleek design and neutral color make them versatile for any occasion. Whether you're dressing up for a formal event or going for a casual outing, these sneakers will complement your look perfectly.",79.99,https://web-scraping.dev/product/23,https://web-scraping.devhttps://web-scraping.dev/assets/products/classic-leather-sneakers-white.webp,,,,,
product,24.0,Cat-Ear Beanie,"Add a touch of whimsy to your winter wardrobe with our Cat Ear Beanie. Crafted from warm, soft material, this cozy beanie features adorable cat ears that stand out, making it the perfect accessory for cat lovers and fashion enthusiasts alike. Available in a variety of colors like black, grey, white, pink, and blue, this beanie not only keeps you warm but also adds a playful element to your outfit. Wear it for a casual day out, or make it your go-to accessory for those chilly evening walks. Stay warm, look cute, and let your playful side shine with our Cat Ear Beanie.",14.99,https://web-scraping.dev/product/24,https://web-scraping.devhttps://web-scraping.dev/assets/products/cat-ear-beanie-grey.webp,,,,,
product,25.0,Box of Chocolate Candy,"Indulge your sweet tooth with our Box of Chocolate Candy. Each box contains an assortment of rich, flavorful chocolates with a smooth, creamy filling. Choose from a variety of flavors including zesty orange and sweet cherry. Whether you're looking for the perfect gift or just want to treat yourself, our Box of Chocolate Candy is sure to satisfy.",24.99,https://web-scraping.dev/product/25,https://web-scraping.devhttps://web-scraping.dev/assets/products/orange-chocolate-box-medium-1.webp,,,,,
review,,,,,,,teal-potion-4,Unique flavor and great energy boost. It's the perfect gamer's drink!,5.0,2023-05-18T00:00:00,
review,,,,,,,red-potion-4,Good flavor and keeps me energized. The bottle design is really fun.,5.0,2023-05-17T00:00:00,
